a,b
SRR8223281.resultsAligned.sortedByCoord.out.bam,14154X10
SRR8223282.resultsAligned.sortedByCoord.out.bam,14154X11
SRR8223283.resultsAligned.sortedByCoord.out.bam,14154X12
SRR8223284.resultsAligned.sortedByCoord.out.bam,14154X13
SRR8223285.resultsAligned.sortedByCoord.out.bam,14154X14
SRR8223286.resultsAligned.sortedByCoord.out.bam,14154X15
SRR8223287.resultsAligned.sortedByCoord.out.bam,14154X16
SRR8223288.resultsAligned.sortedByCoord.out.bam,14154X17
SRR8223289.resultsAligned.sortedByCoord.out.bam,14154X18
SRR8223290.resultsAligned.sortedByCoord.out.bam,14154X19
SRR8223291.resultsAligned.sortedByCoord.out.bam,14154X20
SRR8223292.resultsAligned.sortedByCoord.out.bam,14154X21
SRR8223293.resultsAligned.sortedByCoord.out.bam,14154X22
SRR8223294.resultsAligned.sortedByCoord.out.bam,14154X23
SRR8223295.resultsAligned.sortedByCoord.out.bam,14154X24
SRR8223296.resultsAligned.sortedByCoord.out.bam,14154X25
SRR8223297.resultsAligned.sortedByCoord.out.bam,14154X26
SRR8223298.resultsAligned.sortedByCoord.out.bam,14154X27
SRR8223299.resultsAligned.sortedByCoord.out.bam,14154X28
SRR8223300.resultsAligned.sortedByCoord.out.bam,14154X29
SRR8223301.resultsAligned.sortedByCoord.out.bam,14154X30
SRR8223302.resultsAligned.sortedByCoord.out.bam,14154X01
SRR8223303.resultsAligned.sortedByCoord.out.bam,14154X02
SRR8223304.resultsAligned.sortedByCoord.out.bam,14154X03
SRR8223305.resultsAligned.sortedByCoord.out.bam,14154X04
SRR8223306.resultsAligned.sortedByCoord.out.bam,14154X05
SRR8223307.resultsAligned.sortedByCoord.out.bam,14154X06
SRR8223308.resultsAligned.sortedByCoord.out.bam,14154X07
SRR8223309.resultsAligned.sortedByCoord.out.bam,14154X08
SRR8223310.resultsAligned.sortedByCoord.out.bam,14154X09
X24385X1_20240809_LH00227_0096_A22NGGCLT3_S298_L007.resultsAligned.sortedByCoord.out.bam,24385X01
X24385X2_20240809_LH00227_0096_A22NGGCLT3_S299_L007.resultsAligned.sortedByCoord.out.bam,24385X02
X24385X3_20240809_LH00227_0096_A22NGGCLT3_S300_L007.resultsAligned.sortedByCoord.out.bam,24385X03
X24385X4_20240809_LH00227_0096_A22NGGCLT3_S301_L007.resultsAligned.sortedByCoord.out.bam,24385X04
X24385X5_20240809_LH00227_0096_A22NGGCLT3_S302_L007.resultsAligned.sortedByCoord.out.bam,24385X05
